"datetime","main.aqi","components.co","components.no","components.no2","components.o3","components.so2","components.pm2_5","components.pm10","components.nh3","coord.lon","coord.lat","extraction_date_time","city_name"
"2025-01-01 00:02:45+08:00",3.0,667.57,0.09,15.42,6.35,2.56,27.25,30.33,22.55,124.2928,7.9986,"2025-01-01 00:02:46.053062+08:00","Marawi"
"2025-01-01 00:02:48+08:00",1.0,191.93,0.0,1.37,40.05,0.54,0.75,0.86,0.09,125.4708,9.7339,"2025-01-01 00:02:48.342321+08:00","Mati"
"2025-01-01 00:02:50+08:00",2.0,947.95,0.98,31.87,3.35,9.78,23.52,41.24,7.66,120.9608,14.7369,"2025-01-01 00:02:50.790170+08:00","Meycauayan"
"2025-01-01 00:02:52+08:00",2.0,494.0,0.01,9.43,20.21,1.24,11.21,14.66,3.61,120.9031,15.7161,"2025-01-01 00:02:52.849414+08:00","Muñoz"
"2025-01-01 00:02:54+08:00",1.0,210.29,0.0,0.57,36.84,3.49,2.77,3.64,0.26,123.1814,13.6192,"2025-01-01 00:02:54.549867+08:00","Naga"
"2025-01-01 00:02:56+08:00",2.0,947.95,0.98,31.87,3.35,9.78,23.52,41.24,7.66,120.95,14.6667,"2025-01-01 00:02:56.359810+08:00","Navotas"
"2025-01-01 00:02:58+08:00",2.0,500.68,0.01,8.74,12.52,1.4,10.49,13.17,1.16,120.2828,14.8292,"2025-01-01 00:02:58.726636+08:00","Olongapo"
"2025-01-01 00:03:00+08:00",1.0,290.39,0.01,3.68,15.56,0.48,4.27,5.16,1.33,124.6075,11.0064,"2025-01-01 00:03:00.300935+08:00","Ormoc"
"2025-01-01 00:03:01+08:00",1.0,206.95,0.0,0.69,32.54,0.12,0.81,0.98,0.63,123.8044,8.4858,"2025-01-01 00:03:01.819547+08:00","Oroquieta"
"2025-01-01 00:03:03+08:00",1.0,293.73,0.16,7.45,5.19,1.15,5.08,7.1,4.12,123.8333,8.15,"2025-01-01 00:03:03.573374+08:00","Ozamiz City"
"2025-01-01 00:03:05+08:00",2.0,473.98,0.08,10.63,4.51,2.56,12.5,14.54,17.73,123.437,7.8257,"2025-01-01 00:03:05.758527+08:00","Pagadian"
"2025-01-01 00:03:07+08:00",1.0,373.84,0.0,5.48,33.26,0.98,5.82,7.09,3.1,121.0833,15.55,"2025-01-01 00:03:07.673104+08:00","Palayan City"
"2025-01-01 00:03:09+08:00",1.0,320.44,1.72,4.67,0.34,1.03,5.69,7.53,2.09,125.6842,7.3081,"2025-01-01 00:03:09.252575+08:00","Panabo"
"2025-01-01 00:03:11+08:00",3.0,1695.63,26.6,34.62,0.0,24.56,44.61,65.54,5.76,121.0175,14.4816,"2025-01-01 00:03:11.193581+08:00","Paranaque City"
"2025-01-01 00:03:12+08:00",3.0,1695.63,26.6,34.62,0.0,24.56,44.61,65.54,5.76,121.065,14.587,"2025-01-01 00:03:13.010518+08:00","Pasig"
"2025-01-01 00:03:14+08:00",1.0,216.96,0.01,1.89,16.09,0.57,2.04,2.51,0.49,118.7333,9.7333,"2025-01-01 00:03:14.803133+08:00","Puerto Princesa City"
"2025-01-01 00:03:16+08:00",3.0,1348.5,15.2,26.39,0.04,14.78,35.52,56.89,6.71,121.0333,14.6333,"2025-01-01 00:03:16.370083+08:00","Quezon City"
"2025-01-01 00:03:17+08:00",1.0,337.12,0.0,2.51,40.05,0.28,6.6,7.31,1.3,121.6201,17.1189,"2025-01-01 00:03:18.025556+08:00","Roxas"
"2025-01-01 00:03:20+08:00",1.0,206.95,0.0,1.3,36.84,0.32,1.34,1.82,0.2,123.4242,10.9447,"2025-01-01 00:03:20.142161+08:00","Sagay"
"2025-01-01 00:03:22+08:00",1.0,343.8,0.0,5.44,33.62,2.33,5.04,9.77,1.6,120.5431,14.7678,"2025-01-01 00:03:22.410903+08:00","Samal"
"2025-01-01 00:03:24+08:00",1.0,427.25,0.0,8.14,31.47,1.43,8.27,10.71,3.61,120.8931,15.5448,"2025-01-01 00:03:24.988569+08:00","San Carlos"
"2025-01-01 00:03:26+08:00",2.0,460.63,0.0,3.56,52.21,1.46,22.37,24.23,1.74,120.3166,16.6159,"2025-01-01 00:03:26.329032+08:00","San Fernando"
"2025-01-01 00:03:28+08:00",1.0,297.07,0.0,2.29,29.68,0.28,8.4,9.6,1.35,121.8712,17.8927,"2025-01-01 00:03:28.141391+08:00","San Jose"
"2025-01-01 00:03:30+08:00",1.0,270.37,0.0,2.79,40.77,1.15,3.75,6.66,2.09,121.0453,14.8139,"2025-01-01 00:03:30.393676+08:00","San Jose del Monte"
"2025-01-01 00:03:32+08:00",1.0,337.12,0.0,3.21,45.06,0.51,6.28,7.31,2.31,120.4583,17.7422,"2025-01-01 00:03:32.466213+08:00","San Juan"
